epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,,
0,,9,,446.1373596191406,,,,,
0,,19,,360.0627136230469,,,,,
0,,29,,263.1656494140625,,,,,
0,,30,,,549.695556640625,0.07620856910943985,603.3358154296875,0.07593108713626862,549.695556640625
0,,30,423.60040283203125,,,,,,
,0.001,31,,,,,,,
1,,39,,204.91390991210938,,,,,
1,,49,,218.5490264892578,,,,,
1,,59,,194.69557189941406,,,,,
1,,61,,,347.50146484375,0.04746117815375328,399.1448059082031,0.047833316028118134,347.50146484375
1,,61,226.0828094482422,,,,,,
,0.001,62,,,,,,,
2,,69,,245.87728881835938,,,,,
2,,79,,173.19960021972656,,,,,
2,,89,,166.86224365234375,,,,,
2,,92,,,388.1826171875,0.05298452079296112,435.81048583984375,0.05301832780241966,388.1826171875
2,,92,183.93406677246094,,,,,,
,0.001,93,,,,,,,
3,,99,,198.45726013183594,,,,,
3,,109,,170.39512634277344,,,,,
3,,119,,173.80775451660156,,,,,
3,,123,,,362.8838195800781,0.05377427488565445,409.52850341796875,0.0530502125620842,362.8838195800781
3,,123,178.36044311523438,,,,,,
,0.001,124,,,,,,,
4,,129,,139.73866271972656,,,,,
4,,139,,191.84817504882812,,,,,
4,,149,,139.41578674316406,,,,,
4,,154,,,274.1615905761719,0.03951064497232437,320.3287353515625,0.03921496123075485,274.1615905761719
4,,154,156.88986206054688,,,,,,
,0.001,155,,,,,,,
5,,159,,145.09805297851562,,,,,
5,,169,,152.96609497070312,,,,,
5,,179,,174.5105438232422,,,,,
5,,185,,,391.47894287109375,0.04976819455623627,436.59442138671875,0.05043216422200203,391.47894287109375
5,,185,167.42372131347656,,,,,,
,0.001,186,,,,,,,
6,,189,,168.18423461914062,,,,,
6,,199,,142.84854125976562,,,,,
6,,209,,125.29312896728516,,,,,
6,,216,,,371.18865966796875,0.051155585795640945,417.72808837890625,0.05116085708141327,371.18865966796875
6,,216,153.06398010253906,,,,,,
,0.001,217,,,,,,,
7,,219,,148.28866577148438,,,,,
7,,229,,149.64907836914062,,,,,
7,,239,,136.2351837158203,,,,,
7,,247,,,360.1759033203125,0.0461110882461071,405.2823791503906,0.046696994453668594,360.1759033203125
7,,247,136.62615966796875,,,,,,
,0.001,248,,,,,,,
8,,249,,131.48599243164062,,,,,
8,,259,,164.7884063720703,,,,,
8,,269,,149.7807159423828,,,,,
8,,278,,,407.70721435546875,0.05165849253535271,451.7122802734375,0.05244392529129982,407.70721435546875
8,,278,156.59933471679688,,,,,,
,0.001,279,,,,,,,
9,,279,,158.16915893554688,,,,,
9,,289,,119.5632095336914,,,,,
9,,299,,160.67282104492188,,,,,
9,,309,,143.31619262695312,,,,,
9,,309,,,417.7961730957031,0.05379829928278923,460.1308288574219,0.054437726736068726,417.7961730957031
9,,309,151.01913452148438,,,,,,
