epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0005,0,,,,,,,
0,,9,,543.0693969726562,,,,,
0,,19,,381.683349609375,,,,,
0,,21,,,887.9581298828125,0.14249089360237122,911.7750854492188,0.1549719125032425,887.9581298828125
0,,21,567.5037841796875,,,,,,
,0.0005,22,,,,,,,
1,,29,,312.20306396484375,,,,,
1,,39,,244.82852172851562,,,,,
1,,43,,,840.5143432617188,0.13728192448616028,868.3248901367188,0.149654820561409,840.5143432617188
1,,43,266.00738525390625,,,,,,
,0.0005,44,,,,,,,
2,,49,,207.7670440673828,,,,,
2,,59,,190.56065368652344,,,,,
2,,65,,,772.6680908203125,0.1264294534921646,798.3711547851562,0.13679420948028564,772.6680908203125
2,,65,198.14659118652344,,,,,,
,0.0005,66,,,,,,,
3,,69,,181.42747497558594,,,,,
3,,79,,177.5709991455078,,,,,
3,,87,,,739.6931762695312,0.12155954539775848,766.2750244140625,0.13127268850803375,739.6931762695312
3,,87,169.88909912109375,,,,,,
,0.0005,88,,,,,,,
4,,89,,150.85977172851562,,,,,
4,,99,,182.07589721679688,,,,,
4,,109,,179.9512176513672,,,,,
4,,109,,,708.7359008789062,0.11647194623947144,736.7550048828125,0.1254541426897049,708.7359008789062
4,,109,155.38339233398438,,,,,,
,0.0005,110,,,,,,,
5,,119,,143.19473266601562,,,,,
5,,129,,142.61834716796875,,,,,
5,,131,,,690.8160400390625,0.11374231427907944,720.3148193359375,0.1223595142364502,690.8160400390625
5,,131,142.53684997558594,,,,,,
,0.0005,132,,,,,,,
6,,139,,131.90609741210938,,,,,
6,,149,,142.12939453125,,,,,
6,,153,,,693.6041259765625,0.11425814032554626,722.4441528320312,0.12291337549686432,693.6041259765625
6,,153,132.45953369140625,,,,,,
,0.0005,154,,,,,,,
7,,159,,117.67018127441406,,,,,
7,,169,,122.9928970336914,,,,,
7,,175,,,649.2765502929688,0.10728483647108078,680.8856201171875,0.11505863815546036,649.2765502929688
7,,175,128.4866943359375,,,,,,
,0.0005,176,,,,,,,
8,,179,,121.31407165527344,,,,,
8,,189,,101.95481872558594,,,,,
8,,197,,,623.2683715820312,0.10285652428865433,656.0017700195312,0.11005261540412903,623.2683715820312
8,,197,121.94123840332031,,,,,,
,0.0005,198,,,,,,,
9,,199,,128.3904571533203,,,,,
9,,209,,113.18086242675781,,,,,
9,,219,,112.94822692871094,,,,,
9,,219,,,620.7172241210938,0.10211284458637238,653.0421142578125,0.10917624086141586,620.7172241210938
9,,219,117.8635025024414,,,,,,
,0.0005,220,,,,,,,
10,,229,,108.19914245605469,,,,,
10,,239,,121.0230941772461,,,,,
10,,241,,,590.6399536132812,0.09738831967115402,625.0095825195312,0.10390696674585342,590.6399536132812
10,,241,114.48181915283203,,,,,,
,0.0005,242,,,,,,,
11,,249,,103.84834289550781,,,,,
11,,259,,109.84086608886719,,,,,
11,,263,,,613.9569091796875,0.10125372558832169,646.5637817382812,0.108211450278759,613.9569091796875
11,,263,109.9982681274414,,,,,,
,0.0005,264,,,,,,,
12,,269,,99.9833984375,,,,,
12,,279,,108.4456787109375,,,,,
12,,285,,,605.1498413085938,0.1000232845544815,637.747314453125,0.1068609207868576,605.1498413085938
12,,285,109.2176284790039,,,,,,
,0.0005,286,,,,,,,
13,,289,,115.58460998535156,,,,,
13,,299,,97.87274932861328,,,,,
13,,307,,,612.432373046875,0.10074469447135925,644.0946655273438,0.1075907051563263,612.432373046875
13,,307,107.54766082763672,,,,,,
,0.0005,308,,,,,,,
14,,309,,91.79655456542969,,,,,
14,,319,,105.95503234863281,,,,,
14,,329,,89.94368743896484,,,,,
14,,329,,,609.9158325195312,0.10057730972766876,642.748046875,0.10744186490774155,609.9158325195312
14,,329,101.19115447998047,,,,,,
,0.0005,330,,,,,,,
15,,339,,99.0201416015625,,,,,
15,,349,,110.1290283203125,,,,,
15,,351,,,606.8316650390625,0.10030052810907364,640.3189697265625,0.10717452317476273,606.8316650390625
15,,351,101.31709289550781,,,,,,
