epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0003,0,,,,,,,
0,,9,,479.9056701660156,,,,,
0,,19,,304.3475646972656,,,,,
0,,21,,,603.62060546875,0.09888987988233566,644.2413940429688,0.10560651123523712,603.62060546875
0,,21,460.9138488769531,,,,,,
,0.0003,22,,,,,,,
1,,29,,264.60284423828125,,,,,
1,,39,,234.5183868408203,,,,,
1,,43,,,624.1687622070312,0.10343091189861298,657.8922119140625,0.11069795489311218,624.1687622070312
1,,43,270.5859069824219,,,,,,
,0.0003,44,,,,,,,
2,,49,,241.0762939453125,,,,,
2,,59,,190.83480834960938,,,,,
2,,65,,,533.65478515625,0.08930467814207077,573.8937377929688,0.09490349143743515,533.65478515625
2,,65,224.33804321289062,,,,,,
,0.0003,66,,,,,,,
3,,69,,180.10850524902344,,,,,
3,,79,,195.67788696289062,,,,,
3,,87,,,503.81298828125,0.08488848805427551,544.4066772460938,0.09005879610776901,503.81298828125
3,,87,196.87640380859375,,,,,,
,0.0003,88,,,,,,,
4,,89,,164.09652709960938,,,,,
4,,99,,168.4387969970703,,,,,
4,,109,,174.97805786132812,,,,,
4,,109,,,501.1913757324219,0.08515109866857529,541.372314453125,0.09040752053260803,501.1913757324219
4,,109,183.64434814453125,,,,,,
,0.0003,110,,,,,,,
5,,119,,169.08438110351562,,,,,
5,,129,,163.31866455078125,,,,,
5,,131,,,502.88787841796875,0.08539512753486633,542.6683959960938,0.09067191928625107,502.88787841796875
5,,131,169.72645568847656,,,,,,
,0.0003,132,,,,,,,
6,,139,,167.65603637695312,,,,,
6,,149,,141.6284637451172,,,,,
6,,153,,,503.5517272949219,0.08548712730407715,542.7852783203125,0.09074655920267105,503.5517272949219
6,,153,155.86044311523438,,,,,,
,0.0003,154,,,,,,,
7,,159,,160.1095428466797,,,,,
7,,169,,140.630615234375,,,,,
7,,175,,,514.544921875,0.08746808022260666,549.88330078125,0.09289571642875671,514.544921875
7,,175,149.96766662597656,,,,,,
,0.0003,176,,,,,,,
8,,179,,135.57473754882812,,,,,
8,,189,,137.2729034423828,,,,,
8,,197,,,553.4100952148438,0.09413885325193405,587.6736450195312,0.10036192089319229,553.4100952148438
8,,197,140.85211181640625,,,,,,
,0.0003,198,,,,,,,
9,,199,,134.09658813476562,,,,,
9,,209,,140.283935546875,,,,,
9,,219,,139.61605834960938,,,,,
9,,219,,,463.1187744140625,0.07989650219678879,503.0740661621094,0.08468417078256607,463.1187744140625
9,,219,132.46319580078125,,,,,,
,0.0003,220,,,,,,,
10,,229,,136.97329711914062,,,,,
10,,239,,122.32868957519531,,,,,
10,,241,,,513.3798828125,0.08746162801980972,551.2807006835938,0.09296160936355591,513.3798828125
10,,241,129.935302734375,,,,,,
,0.0003,242,,,,,,,
11,,249,,120.3273696899414,,,,,
11,,259,,117.86268615722656,,,,,
11,,263,,,479.9721984863281,0.08179522305727005,518.9863891601562,0.08667424321174622,479.9721984863281
11,,263,125.03034210205078,,,,,,
,0.0003,264,,,,,,,
12,,269,,112.40391540527344,,,,,
12,,279,,100.1407699584961,,,,,
12,,285,,,477.0304260253906,0.08161751925945282,516.7197265625,0.08652741461992264,477.0304260253906
12,,285,121.1971435546875,,,,,,
,0.0003,286,,,,,,,
13,,289,,102.72183990478516,,,,,
13,,299,,106.7671127319336,,,,,
13,,307,,,495.9642028808594,0.08467762917280197,534.76416015625,0.08989360928535461,495.9642028808594
13,,307,116.95722961425781,,,,,,
,0.0003,308,,,,,,,
14,,309,,128.63687133789062,,,,,
14,,319,,128.64328002929688,,,,,
14,,329,,122.67887878417969,,,,,
14,,329,,,492.583740234375,0.08347853273153305,530.95458984375,0.08847996592521667,492.583740234375
14,,329,113.83248901367188,,,,,,
