epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0003,0,,,,,,,
0,,9,,456.3821716308594,,,,,
0,,19,,454.38006591796875,,,,,
0,,29,,364.6022644042969,,,,,
0,,30,,,525.3920288085938,0.0823342353105545,600.5189208984375,0.07951980829238892,525.3920288085938
0,,30,525.0812377929688,,,,,,
,0.0003,31,,,,,,,
1,,39,,344.59228515625,,,,,
1,,49,,307.61566162109375,,,,,
1,,59,,275.29559326171875,,,,,
1,,61,,,459.6698913574219,0.07192610204219818,526.3795166015625,0.06975852698087692,459.6698913574219
1,,61,310.6981201171875,,,,,,
,0.0003,62,,,,,,,
2,,69,,229.553955078125,,,,,
2,,79,,228.95700073242188,,,,,
2,,89,,217.0070037841797,,,,,
2,,92,,,447.4706115722656,0.06505496054887772,504.7745666503906,0.06409727036952972,447.4706115722656
2,,92,241.9623565673828,,,,,,
,0.0003,93,,,,,,,
3,,99,,190.37132263183594,,,,,
3,,109,,194.6270751953125,,,,,
3,,119,,166.36038208007812,,,,,
3,,123,,,443.42962646484375,0.06898006051778793,501.7848815917969,0.06690429151058197,443.42962646484375
3,,123,203.66139221191406,,,,,,
,0.0003,124,,,,,,,
4,,129,,199.9422149658203,,,,,
4,,139,,211.07809448242188,,,,,
4,,149,,194.35604858398438,,,,,
4,,154,,,471.4901123046875,0.07095061242580414,526.47265625,0.06929641216993332,471.4901123046875
4,,154,192.8038330078125,,,,,,
,0.0003,155,,,,,,,
5,,159,,163.92510986328125,,,,,
5,,169,,154.64744567871094,,,,,
5,,179,,188.78164672851562,,,,,
5,,185,,,437.82025146484375,0.06512890756130219,490.1893615722656,0.0638841912150383,437.82025146484375
5,,185,169.37832641601562,,,,,,
,0.0003,186,,,,,,,
6,,189,,172.13931274414062,,,,,
6,,199,,151.14559936523438,,,,,
6,,209,,156.49815368652344,,,,,
6,,216,,,407.7861328125,0.06112450733780861,459.75946044921875,0.059982236474752426,407.7861328125
6,,216,167.7292022705078,,,,,,
,0.0003,217,,,,,,,
7,,219,,178.7616729736328,,,,,
7,,229,,172.23472595214844,,,,,
7,,239,,140.18756103515625,,,,,
7,,247,,,429.18499755859375,0.0631554126739502,478.66424560546875,0.062212325632572174,429.18499755859375
7,,247,157.20742797851562,,,,,,
,0.0003,248,,,,,,,
8,,249,,157.89199829101562,,,,,
8,,259,,168.10299682617188,,,,,
8,,269,,160.95538330078125,,,,,
8,,278,,,443.63250732421875,0.0673253983259201,492.8004455566406,0.06589244306087494,443.63250732421875
8,,278,158.6885223388672,,,,,,
,0.0003,279,,,,,,,
9,,279,,128.62673950195312,,,,,
9,,289,,134.26910400390625,,,,,
9,,299,,187.3666229248047,,,,,
9,,309,,123.2317886352539,,,,,
9,,309,,,456.28485107421875,0.06925573945045471,505.29681396484375,0.0677594318985939,456.28485107421875
9,,309,151.61041259765625,,,,,,
,0.0003,310,,,,,,,
10,,319,,137.41445922851562,,,,,
10,,329,,158.3952178955078,,,,,
10,,339,,139.6067657470703,,,,,
10,,340,,,465.0165100097656,0.06976252794265747,512.315185546875,0.06843477487564087,465.0165100097656
10,,340,146.57859802246094,,,,,,
,0.0003,341,,,,,,,
11,,349,,153.384765625,,,,,
11,,359,,126.9393081665039,,,,,
11,,369,,136.9007568359375,,,,,
11,,371,,,454.2179260253906,0.06298758089542389,503.45721435546875,0.06279370933771133,454.2179260253906
11,,371,144.3414306640625,,,,,,
