epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,,
0,,9,,308.57110595703125,,,,,
0,,19,,199.35101318359375,,,,,
0,,21,,,1051.854248046875,0.16758227348327637,1074.744873046875,0.1846592128276825,782.14892578125
0,,21,334.9368896484375,,,,,,
,0.001,22,,,,,,,
1,,29,,142.55801391601562,,,,,
1,,39,,145.1054229736328,,,,,
1,,43,,,584.556884765625,0.09476618468761444,622.939453125,0.10082218050956726,508.06298828125
1,,43,152.20753479003906,,,,,,
,0.001,44,,,,,,,
2,,49,,111.74267578125,,,,,
2,,59,,84.16864013671875,,,,,
2,,65,,,553.4954833984375,0.09039810299873352,590.85205078125,0.09597154706716537,460.2833251953125
2,,65,103.8289794921875,,,,,,
,0.001,66,,,,,,,
3,,69,,89.25860595703125,,,,,
3,,79,,78.26815032958984,,,,,
3,,87,,,473.3043212890625,0.07835893332958221,514.0750732421875,0.08271320164203644,362.8849182128906
3,,87,83.93637084960938,,,,,,
,0.001,88,,,,,,,
4,,89,,82.98818969726562,,,,,
4,,99,,68.01968383789062,,,,,
4,,109,,84.95970153808594,,,,,
4,,109,,,472.655029296875,0.07841980457305908,513.8427734375,0.08278730511665344,341.54205322265625
4,,109,75.4319839477539,,,,,,
,0.001,110,,,,,,,
5,,119,,71.36415100097656,,,,,
5,,129,,76.85122680664062,,,,,
5,,131,,,467.5395202636719,0.07793103158473969,508.3139953613281,0.0822998508810997,336.311279296875
5,,131,69.38329315185547,,,,,,
,0.001,132,,,,,,,
6,,139,,64.79732513427734,,,,,
6,,149,,66.43164825439453,,,,,
6,,153,,,479.4849853515625,0.07972640544176102,520.4509887695312,0.08427444845438004,342.5210876464844
6,,153,67.55536651611328,,,,,,
,0.001,154,,,,,,,
7,,159,,65.40000915527344,,,,,
7,,169,,57.4143180847168,,,,,
7,,175,,,452.9712829589844,0.07581695914268494,494.6422424316406,0.07996764779090881,333.8959045410156
7,,175,62.323448181152344,,,,,,
,0.001,176,,,,,,,
8,,179,,64.06163024902344,,,,,
8,,189,,58.608154296875,,,,,
8,,197,,,450.13232421875,0.07588520646095276,491.066162109375,0.0800950899720192,357.28802490234375
8,,197,58.96841812133789,,,,,,
,0.001,198,,,,,,,
9,,199,,51.89241409301758,,,,,
9,,209,,55.498558044433594,,,,,
9,,219,,73.79598999023438,,,,,
9,,219,,,453.49896240234375,0.07615065574645996,495.0505065917969,0.08039069920778275,345.51751708984375
9,,219,58.472843170166016,,,,,,
,0.001,220,,,,,,,
10,,229,,54.08051681518555,,,,,
10,,239,,48.13471603393555,,,,,
10,,241,,,489.1293640136719,0.08187802135944366,528.4577026367188,0.08672042191028595,377.8989562988281
10,,241,56.85997009277344,,,,,,
,0.001,242,,,,,,,
11,,249,,57.66015625,,,,,
11,,259,,53.91559982299805,,,,,
11,,263,,,497.8987731933594,0.08350192755460739,536.9895629882812,0.08856448531150818,372.20709228515625
11,,263,57.51092529296875,,,,,,
,0.001,264,,,,,,,
12,,269,,55.901527404785156,,,,,
12,,279,,57.12099075317383,,,,,
12,,285,,,469.7397155761719,0.0788647010922432,510.1929626464844,0.08338543027639389,364.3471984863281
12,,285,56.1576042175293,,,,,,
