epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,,
0,,9,,780.484619140625,,,,,
0,,19,,439.64190673828125,,,,,
0,,29,,383.7350769042969,,,,,
0,,30,,,710.20849609375,0.10308989882469177,765.1334228515625,0.10053394734859467,710.20849609375
0,,30,600.3928833007812,,,,,,
,0.001,31,,,,,,,
1,,39,,329.74163818359375,,,,,
1,,49,,306.61767578125,,,,,
1,,59,,291.50531005859375,,,,,
1,,61,,,616.4107666015625,0.09066619724035263,672.2089233398438,0.08846917748451233,616.4107666015625
1,,61,322.9959411621094,,,,,,
,0.001,62,,,,,,,
2,,69,,266.86376953125,,,,,
2,,79,,266.78814697265625,,,,,
2,,89,,227.66128540039062,,,,,
2,,92,,,589.327880859375,0.08145979791879654,642.39501953125,0.08108090609312057,589.327880859375
2,,92,271.8437194824219,,,,,,
,0.001,93,,,,,,,
3,,99,,247.1298370361328,,,,,
3,,109,,204.74880981445312,,,,,
3,,119,,233.0598907470703,,,,,
3,,123,,,589.5281372070312,0.08126401156187057,637.4054565429688,0.0809834897518158,589.5281372070312
3,,123,235.2825927734375,,,,,,
,0.001,124,,,,,,,
4,,129,,176.67965698242188,,,,,
4,,139,,217.70700073242188,,,,,
4,,149,,196.45941162109375,,,,,
4,,154,,,572.2268676757812,0.080833800137043,617.2677001953125,0.08004242181777954,572.2268676757812
4,,154,195.1326141357422,,,,,,
,0.001,155,,,,,,,
5,,159,,156.3124542236328,,,,,
5,,169,,183.81527709960938,,,,,
5,,179,,177.34803771972656,,,,,
5,,185,,,554.2357788085938,0.07676850259304047,599.728271484375,0.07645071297883987,554.2357788085938
5,,185,173.50411987304688,,,,,,
,0.001,186,,,,,,,
6,,189,,176.79476928710938,,,,,
6,,199,,165.39476013183594,,,,,
6,,209,,162.78648376464844,,,,,
6,,216,,,558.1849365234375,0.07846781611442566,605.2972412109375,0.07774455100297928,558.1849365234375
6,,216,170.76779174804688,,,,,,
,0.001,217,,,,,,,
7,,219,,164.2370147705078,,,,,
7,,229,,158.8595428466797,,,,,
7,,239,,180.83905029296875,,,,,
7,,247,,,568.2665405273438,0.07897273451089859,613.1943359375,0.0785277932882309,568.2665405273438
7,,247,161.84164428710938,,,,,,
,0.001,248,,,,,,,
8,,249,,170.24813842773438,,,,,
8,,259,,147.63192749023438,,,,,
8,,269,,173.13272094726562,,,,,
8,,278,,,553.524169921875,0.08078882098197937,602.7667236328125,0.07936372607946396,553.524169921875
8,,278,157.88656616210938,,,,,,
,0.001,279,,,,,,,
9,,279,,180.80618286132812,,,,,
9,,289,,136.07666015625,,,,,
9,,299,,150.5570831298828,,,,,
9,,309,,149.12448120117188,,,,,
9,,309,,,542.6328735351562,0.0782100036740303,588.9869995117188,0.07707453519105911,542.6328735351562
9,,309,148.4379425048828,,,,,,
,0.001,310,,,,,,,
10,,319,,163.47760009765625,,,,,
10,,329,,137.4012908935547,,,,,
10,,339,,158.7909393310547,,,,,
10,,340,,,543.3108520507812,0.07848043739795685,587.2885131835938,0.07731502503156662,543.3108520507812
10,,340,146.4883270263672,,,,,,
,0.001,341,,,,,,,
11,,349,,151.71249389648438,,,,,
11,,359,,149.03424072265625,,,,,
11,,369,,158.0491943359375,,,,,
11,,371,,,536.6212158203125,0.07612882554531097,581.6216430664062,0.07534866034984589,536.6212158203125
11,,371,144.6414031982422,,,,,,
,0.001,372,,,,,,,
12,,379,,132.71505737304688,,,,,
12,,389,,148.6908416748047,,,,,
12,,399,,194.23733520507812,,,,,
12,,402,,,551.4371948242188,0.07510753720998764,592.7734985351562,0.07507805526256561,551.4371948242188
12,,402,150.88180541992188,,,,,,
,0.001,403,,,,,,,
13,,409,,144.43678283691406,,,,,
13,,419,,131.67074584960938,,,,,
13,,429,,133.88131713867188,,,,,
13,,433,,,524.5340576171875,0.07365626096725464,566.8356323242188,0.07305801659822464,524.5340576171875
13,,433,137.4241485595703,,,,,,
,0.001,434,,,,,,,
14,,439,,131.22744750976562,,,,,
14,,449,,133.56948852539062,,,,,
14,,459,,133.1688690185547,,,,,
14,,464,,,532.945068359375,0.07523173093795776,576.0303955078125,0.0745503306388855,532.945068359375
14,,464,142.80270385742188,,,,,,
,0.001,465,,,,,,,
15,,469,,127.34367370605469,,,,,
15,,479,,136.43588256835938,,,,,
15,,489,,149.51412963867188,,,,,
15,,495,,,547.1175537109375,0.07656770199537277,586.1692504882812,0.0760163739323616,547.1175537109375
15,,495,136.47508239746094,,,,,,
,0.001,496,,,,,,,
16,,499,,136.4305877685547,,,,,
16,,509,,125.621826171875,,,,,
16,,519,,137.5681610107422,,,,,
16,,526,,,531.40576171875,0.07571111619472504,571.9292602539062,0.07487555593252182,531.40576171875
16,,526,131.5037078857422,,,,,,
,0.001,527,,,,,,,
17,,529,,146.94393920898438,,,,,
17,,539,,146.41012573242188,,,,,
17,,549,,112.58544921875,,,,,
17,,557,,,498.7474670410156,0.07433010637760162,544.9595336914062,0.07275598496198654,498.7474670410156
17,,557,132.55409240722656,,,,,,
,0.001,558,,,,,,,
18,,559,,115.19734191894531,,,,,
18,,569,,117.77204895019531,,,,,
18,,579,,146.21939086914062,,,,,
18,,588,,,551.0177612304688,0.08418150991201401,596.7514038085938,0.08190726488828659,551.0177612304688
18,,588,130.21400451660156,,,,,,
,0.001,589,,,,,,,
19,,589,,128.4810333251953,,,,,
19,,599,,125.1205062866211,,,,,
19,,609,,140.36654663085938,,,,,
19,,619,,129.9075469970703,,,,,
19,,619,,,528.6795654296875,0.07978042215108871,573.3152465820312,0.07790489494800568,528.6795654296875
19,,619,127.48616027832031,,,,,,
,0.001,620,,,,,,,
20,,629,,117.2052993774414,,,,,
20,,639,,127.6051254272461,,,,,
20,,649,,127.4068832397461,,,,,
20,,650,,,561.9789428710938,0.08540616929531097,606.1654663085938,0.08325941115617752,561.9789428710938
20,,650,129.04273986816406,,,,,,
,0.001,651,,,,,,,
21,,659,,147.33197021484375,,,,,
21,,669,,116.24156188964844,,,,,
21,,679,,133.0067596435547,,,,,
21,,681,,,543.3255615234375,0.07910794019699097,583.7639770507812,0.0778450220823288,543.3255615234375
21,,681,127.84497833251953,,,,,,
,0.001,682,,,,,,,
22,,689,,130.43385314941406,,,,,
22,,699,,135.25672912597656,,,,,
22,,709,,109.977294921875,,,,,
22,,712,,,564.4559326171875,0.08492046594619751,606.6944580078125,0.08295299112796783,564.4559326171875
22,,712,129.37232971191406,,,,,,
