date,ticker,sentiment_final_mean,news_count_3d,sentiment_mean_3d,sentiment_ema_7d,sentiment_trend_7d,sentiment_delta_1d,sentiment_dir_signal
2017-01-16,ASII.JK,0.0,1.0,0.0,0.0,0.0,0.0,0
2017-01-17,ASII.JK,0.0,1.0,0.0,0.0,0.0,0.0,0
2017-01-18,ASII.JK,-1.0,2.0,-0.3333333333333333,-0.25,-1.0,-1.0,-1
2017-01-19,ASII.JK,0.0,1.0,-0.3333333333333333,-0.1875,0.3333333333333333,1.0,0
2017-01-20,ASII.JK,0.0,1.0,-0.3333333333333333,-0.140625,0.25,0.0,0
2017-01-23,ASII.JK,0.0,0.0,0.0,-0.10546875,0.2,0.0,0
2017-01-24,ASII.JK,0.0,0.0,0.0,-0.0791015625,0.16666666666666666,0.0,0
2017-01-25,ASII.JK,0.0,0.0,0.0,-0.059326171875,0.14285714285714285,0.0,0
2017-01-26,ASII.JK,0.0,0.0,0.0,-0.04449462890625,0.14285714285714285,0.0,0
2017-01-27,ASII.JK,0.0,0.0,0.0,-0.0333709716796875,0.14285714285714285,0.0,0
2017-01-30,ASII.JK,0.0,0.0,0.0,-0.025028228759765625,0.0,0.0,0
2017-01-31,ASII.JK,0.0,0.0,0.0,-0.01877117156982422,0.0,0.0,0
2017-02-01,ASII.JK,0.0,0.0,0.0,-0.014078378677368164,0.0,0.0,0
2017-02-02,ASII.JK,0.0,0.0,0.0,-0.010558784008026123,0.0,0.0,0
2017-02-03,ASII.JK,0.0,0.0,0.0,-0.007919088006019592,0.0,0.0,0
2017-02-06,ASII.JK,0.0,0.0,0.0,-0.005939316004514694,0.0,0.0,0
2017-02-07,ASII.JK,0.0,0.0,0.0,-0.004454487003386021,0.0,0.0,0
2017-02-08,ASII.JK,0.0,0.0,0.0,-0.0033408652525395155,0.0,0.0,0
2017-02-09,ASII.JK,0.0,0.0,0.0,-0.0025056489394046366,0.0,0.0,0
2017-02-10,ASII.JK,0.0,0.0,0.0,-0.0018792367045534775,0.0,0.0,0
2017-02-13,ASII.JK,0.0,0.0,0.0,-0.001409427528415108,0.0,0.0,0
2017-02-14,ASII.JK,0.0,0.0,0.0,-0.001057070646311331,0.0,0.0,0
2017-02-15,ASII.JK,0.0,0.0,0.0,-0.0007928029847334983,0.0,0.0,0
2017-02-16,ASII.JK,0.0,0.0,0.0,-0.0005946022385501237,0.0,0.0,0
2017-02-17,ASII.JK,0.0,0.0,0.0,-0.0004459516789125928,0.0,0.0,0
2017-02-20,ASII.JK,0.0,1.0,0.0,-0.0003344637591844446,0.0,0.0,0
2017-02-21,ASII.JK,1.0,2.0,0.3333333333333333,0.24974915218061167,1.0,1.0,1
2017-02-22,ASII.JK,0.0,2.0,0.3333333333333333,0.18731186413545875,-0.14285714285714285,-1.0,0
2017-02-23,ASII.JK,0.0,1.0,0.3333333333333333,0.14048389810159406,-0.14285714285714285,0.0,0
2017-02-24,ASII.JK,-1.0,4.0,-0.3333333333333333,-0.14463707642380447,-1.1428571428571428,-1.0,-1
2017-02-27,ASII.JK,0.6666666666666666,7.0,-0.11111111111111112,0.05818885934881331,0.6666666666666666,1.6666666666666665,1
2017-02-28,ASII.JK,0.0,9.0,-0.11111111111111112,0.043641644511609984,-0.09523809523809523,-0.6666666666666666,0
2017-03-01,ASII.JK,0.0,5.0,0.2222222222222222,0.03273123338370749,-0.09523809523809523,0.0,0
2017-03-02,ASII.JK,0.0,2.0,0.0,0.024548425037780618,-0.09523809523809523,0.0,0
