epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0003,0,,,,,,,
0,,9,,839.5691528320312,,,,,
0,,19,,504.6900939941406,,,,,
0,,29,,413.75701904296875,,,,,
0,,30,,,835.8638916015625,0.11681763827800751,890.7554931640625,0.11617784202098846,835.8638916015625
0,,30,695.446044921875,,,,,,
,0.0003,31,,,,,,,
1,,39,,387.5149230957031,,,,,
1,,49,,358.38037109375,,,,,
1,,59,,320.5091857910156,,,,,
1,,61,,,737.9805297851562,0.12203390896320343,801.2137451171875,0.11487829685211182,737.9805297851562
1,,61,373.4650573730469,,,,,,
,0.0003,62,,,,,,,
2,,69,,354.0994567871094,,,,,
2,,79,,295.330078125,,,,,
2,,89,,343.3592834472656,,,,,
2,,92,,,666.7373046875,0.10815780609846115,732.1366577148438,0.10289973020553589,666.7373046875
2,,92,313.5765075683594,,,,,,
,0.0003,93,,,,,,,
3,,99,,249.5802459716797,,,,,
3,,109,,265.73699951171875,,,,,
3,,119,,250.1126251220703,,,,,
3,,123,,,586.3827514648438,0.08805877715349197,645.8442993164062,0.0859517753124237,586.3827514648438
3,,123,275.74639892578125,,,,,,
,0.0003,124,,,,,,,
4,,129,,230.26870727539062,,,,,
4,,139,,243.3857879638672,,,,,
4,,149,,227.20468139648438,,,,,
4,,154,,,535.634765625,0.07579488307237625,587.9700317382812,0.07507342845201492,535.634765625
4,,154,243.0361785888672,,,,,,
,0.0003,155,,,,,,,
5,,159,,186.47369384765625,,,,,
5,,169,,193.25225830078125,,,,,
5,,179,,190.9519805908203,,,,,
5,,185,,,530.9283447265625,0.079209104180336,581.1983032226562,0.07750062644481659,530.9283447265625
5,,185,206.6982879638672,,,,,,
,0.0003,186,,,,,,,
6,,189,,182.88839721679688,,,,,
6,,199,,193.78695678710938,,,,,
6,,209,,169.8389129638672,,,,,
6,,216,,,525.7486572265625,0.07747402042150497,574.405517578125,0.07607303559780121,525.7486572265625
6,,216,177.98060607910156,,,,,,
,0.0003,217,,,,,,,
7,,219,,169.22793579101562,,,,,
7,,229,,154.24009704589844,,,,,
7,,239,,160.15928649902344,,,,,
7,,247,,,515.9782104492188,0.07448083907365799,564.4791259765625,0.07343234121799469,515.9782104492188
7,,247,165.73594665527344,,,,,,
,0.0003,248,,,,,,,
8,,249,,168.8783721923828,,,,,
8,,259,,139.87847900390625,,,,,
8,,269,,145.93429565429688,,,,,
8,,278,,,533.4222412109375,0.07582364976406097,581.7774658203125,0.07500951737165451,533.4222412109375
8,,278,154.8584747314453,,,,,,
,0.0003,279,,,,,,,
9,,279,,167.93130493164062,,,,,
9,,289,,154.38926696777344,,,,,
9,,299,,135.7101593017578,,,,,
9,,309,,150.81581115722656,,,,,
9,,309,,,540.2088012695312,0.07724907994270325,588.8395385742188,0.07629136741161346,540.2088012695312
9,,309,148.70132446289062,,,,,,
,0.0003,310,,,,,,,
10,,319,,149.5345001220703,,,,,
10,,329,,139.24050903320312,,,,,
10,,339,,139.27182006835938,,,,,
10,,340,,,530.4625854492188,0.07626321911811829,577.8253784179688,0.07519234716892242,530.4625854492188
10,,340,144.60047912597656,,,,,,
,0.0003,341,,,,,,,
11,,349,,134.70309448242188,,,,,
11,,359,,136.00833129882812,,,,,
11,,369,,122.23677062988281,,,,,
11,,371,,,550.83447265625,0.08102364093065262,598.009521484375,0.07943861186504364,550.83447265625
11,,371,138.6202392578125,,,,,,
,0.0003,372,,,,,,,
12,,379,,143.74893188476562,,,,,
12,,389,,149.7525634765625,,,,,
12,,399,,133.88327026367188,,,,,
12,,402,,,536.2518310546875,0.07835550606250763,582.887451171875,0.07692421227693558,536.2518310546875
12,,402,137.86497497558594,,,,,,
