epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,,
0,,9,,735.3601684570312,,,,,
0,,19,,404.09600830078125,,,,,
0,,29,,349.16241455078125,,,,,
0,,29,,,702.460693359375,0.1062098816037178,759.4718017578125,0.10215800255537033,702.460693359375
0,,29,580.9725952148438,,,,,,
,0.001,30,,,,,,,
1,,39,,321.870849609375,,,,,
1,,49,,333.15948486328125,,,,,
1,,59,,281.65087890625,,,,,
1,,59,,,625.4461059570312,0.08771472424268723,676.8514404296875,0.08692663162946701,625.4461059570312
1,,59,314.9665222167969,,,,,,
,0.001,60,,,,,,,
2,,69,,275.27496337890625,,,,,
2,,79,,240.1237030029297,,,,,
2,,89,,248.4376678466797,,,,,
2,,89,,,607.1439208984375,0.08202416449785233,657.0298461914062,0.08237537741661072,607.1439208984375
2,,89,252.47412109375,,,,,,
,0.001,90,,,,,,,
3,,99,,211.8618621826172,,,,,
3,,109,,241.8916473388672,,,,,
3,,119,,195.57708740234375,,,,,
3,,119,,,629.8983764648438,0.08629065752029419,682.5096435546875,0.08613181114196777,629.8983764648438
3,,119,221.754638671875,,,,,,
,0.001,120,,,,,,,
4,,129,,190.31234741210938,,,,,
4,,139,,195.92483520507812,,,,,
4,,149,,180.90090942382812,,,,,
4,,149,,,587.2883911132812,0.08105435222387314,635.2079467773438,0.08073242753744125,587.2883911132812
4,,149,189.728759765625,,,,,,
,0.001,150,,,,,,,
5,,159,,202.77633666992188,,,,,
5,,169,,172.28854370117188,,,,,
5,,179,,166.56399536132812,,,,,
5,,179,,,582.2052612304688,0.08496848493814468,633.2633056640625,0.08336947858333588,582.2052612304688
5,,179,178.45159912109375,,,,,,
,0.001,180,,,,,,,
6,,189,,178.1398162841797,,,,,
6,,199,,164.2839813232422,,,,,
6,,209,,166.3061065673828,,,,,
6,,209,,,590.838623046875,0.08183355629444122,639.824951171875,0.08140858262777328,590.838623046875
6,,209,168.20306396484375,,,,,,
,0.001,210,,,,,,,
7,,219,,145.00840759277344,,,,,
7,,229,,180.57852172851562,,,,,
7,,239,,147.2767791748047,,,,,
