feature,corr_with_target,abs_corr
vol_20,-0.29351728555731155,0.29351728555731155
volume,-0.2652109697226589,0.2652109697226589
bb_width_20,-0.25423022407122997,0.25423022407122997
return_std_5d,-0.20050517677622012,0.20050517677622012
sentiment_vol_7d,-0.07340454641598801,0.07340454641598801
neu_count,0.06694362417002786,0.06694362417002786
ma_5_div_ma_20,0.050599313393493515,0.050599313393493515
strong_market_count,-0.04718740222250904,0.04718740222250904
sentiment_conf_mean,-0.045960694389944164,0.045960694389944164
news_count_3d,0.043856190139837783,0.043856190139837783
extreme_news,-0.041390485986422275,0.041390485986422275
rsi_14,0.036616221289863395,0.036616221289863395
sentiment_mean_3d,0.03501635539466578,0.03501635539466578
return_mean_5d,0.0337075395888153,0.0337075395888153
news_count,0.03088047462576933,0.03088047462576933
sentiment_text_mean,0.02681593537485367,0.02681593537485367
sentiment_conf_max,-0.0201796707172805,0.0201796707172805
log_return_1d,0.017143217925373027,0.017143217925373027
neg_count,-0.015874372456947474,0.015874372456947474
has_news,0.01540919961982358,0.01540919961982358
sentiment_mean,0.014931502534445333,0.014931502534445333
sentiment_final_mean,0.014650333584554054,0.014650333584554054
pos_count,-0.01430711472914321,0.01430711472914321
sentiment_shock,-0.008759519393146897,0.008759519393146897
sentiment_trend_5d,-0.008072444715116433,0.008072444715116433
volume_ma_ratio_20,-0.007475949073038286,0.007475949073038286
sentiment_lex_mean,0.007410959640628978,0.007410959640628978
strong_lex_count,0.0024597453888076095,0.0024597453888076095
sentiment_market_mean,0.0006604818561970392,0.0006604818561970392
