model,kind,MAE,MSE,RMSE,MAPE(%),sMAPE(%),R2
baseline,raw,253.82512666666665,88754.6496349226,297.91718586701677,5.752377016530852,5.522145788021677,0.9763816236152791
baseline,bias_corrected,151.18846044444427,31678.904081428533,177.9856850463782,3.1632289137250185,3.1577152431691604,0.9915699708902208
hybrid,raw,214.54557666666673,75489.76903858905,274.75401550948993,5.003873120246042,4.794578806867956,0.9799115225435187
hybrid,bias_corrected,198.1130566666667,57784.811648055125,240.38471592024132,4.831267444427252,4.783267520857538,0.9846229641327212
