epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0003,0,,,,,,,
0,,9,,574.9746704101562,,,,,
0,,19,,453.530517578125,,,,,
0,,25,,,564.7259521484375,0.07196135818958282,617.8253784179688,0.07504621893167496,564.7259521484375
0,,25,542.5217895507812,,,,,,
,0.0003,26,,,,,,,
1,,29,,412.16668701171875,,,,,
1,,39,,356.21307373046875,,,,,
1,,49,,341.32342529296875,,,,,
1,,51,,,432.23974609375,0.058678798377513885,483.2753601074219,0.05923878774046898,432.23974609375
1,,51,364.4000244140625,,,,,,
,0.0003,52,,,,,,,
2,,59,,282.61376953125,,,,,
