epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0003,0,,,,,,,
0,,9,,724.8104248046875,,,,,
0,,19,,560.2137451171875,,,,,
0,,24,,,1286.9884033203125,0.18108859658241272,1319.1671142578125,0.20160312950611115,1286.9884033203125
0,,24,662.4006958007812,,,,,,
,0.0003,25,,,,,,,
1,,29,,371.01483154296875,,,,,
1,,39,,365.64178466796875,,,,,
1,,49,,314.02490234375,,,,,
1,,49,,,771.0722045898438,0.10720330476760864,813.5819091796875,0.11492112278938293,771.0722045898438
1,,49,365.53680419921875,,,,,,
,0.0003,50,,,,,,,
2,,59,,296.55694580078125,,,,,
2,,69,,275.6384582519531,,,,,
2,,74,,,611.1082763671875,0.08592616766691208,661.3853759765625,0.09074264019727707,611.1082763671875
2,,74,295.1714782714844,,,,,,
,0.0003,75,,,,,,,
3,,79,,265.98974609375,,,,,
3,,89,,240.8085479736328,,,,,
3,,99,,191.861572265625,,,,,
3,,99,,,534.3291015625,0.0758795365691185,586.89404296875,0.0795331746339798,534.3291015625
3,,99,242.49855041503906,,,,,,
,0.0003,100,,,,,,,
4,,109,,203.20729064941406,,,,,
4,,119,,210.2200164794922,,,,,
4,,124,,,487.0295104980469,0.06934313476085663,534.997802734375,0.07202504575252533,487.0295104980469
4,,124,202.94720458984375,,,,,,
,0.0003,125,,,,,,,
5,,129,,195.06350708007812,,,,,
5,,139,,206.4765625,,,,,
5,,149,,188.46316528320312,,,,,
5,,149,,,472.25457763671875,0.0674683004617691,518.6112670898438,0.07003132998943329,472.25457763671875
5,,149,187.4905242919922,,,,,,
,0.0003,150,,,,,,,
6,,159,,180.9534454345703,,,,,
6,,169,,174.4350128173828,,,,,
6,,174,,,453.0873107910156,0.06528189778327942,498.3252868652344,0.06768269836902618,453.0873107910156
6,,174,175.02833557128906,,,,,,
,0.0003,175,,,,,,,
7,,179,,156.70233154296875,,,,,
7,,189,,143.42807006835938,,,,,
7,,199,,153.62051391601562,,,,,
7,,199,,,444.05908203125,0.06377386301755905,487.6369934082031,0.06581036746501923,444.05908203125
7,,199,162.21078491210938,,,,,,
,0.0003,200,,,,,,,
8,,209,,153.9854278564453,,,,,
8,,219,,140.84518432617188,,,,,
8,,224,,,435.9717712402344,0.06277294456958771,478.8460388183594,0.0644611194729805,435.9717712402344
8,,224,156.7823486328125,,,,,,
,0.0003,225,,,,,,,
9,,229,,160.22056579589844,,,,,
9,,239,,159.0444793701172,,,,,
9,,249,,146.92538452148438,,,,,
9,,249,,,442.1430969238281,0.06342843174934387,485.20654296875,0.06538702547550201,442.1430969238281
9,,249,150.22763061523438,,,,,,
,0.0003,250,,,,,,,
10,,259,,144.07339477539062,,,,,
10,,269,,154.46517944335938,,,,,
10,,274,,,440.2601013183594,0.0636662170290947,482.63031005859375,0.06548028439283371,440.2601013183594
10,,274,145.41648864746094,,,,,,
,0.0003,275,,,,,,,
11,,279,,151.5745086669922,,,,,
11,,289,,149.5635223388672,,,,,
11,,299,,161.10513305664062,,,,,
11,,299,,,432.1211853027344,0.06272759288549423,474.3252868652344,0.06451860070228577,432.1211853027344
11,,299,140.8916778564453,,,,,,
,0.0003,300,,,,,,,
12,,309,,131.38729858398438,,,,,
12,,319,,142.514404296875,,,,,
12,,324,,,443.3142395019531,0.0639117956161499,485.1128845214844,0.06594227999448776,443.3142395019531
12,,324,133.5406951904297,,,,,,
,0.0003,325,,,,,,,
