epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,,
0,,9,,766.6436767578125,,,,,
0,,19,,491.3779296875,,,,,
0,,29,,425.35968017578125,,,,,
0,,30,,,706.4051513671875,0.11814209073781967,780.2652587890625,0.11030051857233047,706.4051513671875
0,,30,708.9371337890625,,,,,,
,0.001,31,,,,,,,
1,,39,,392.06768798828125,,,,,
1,,49,,282.47711181640625,,,,,
1,,59,,301.35919189453125,,,,,
1,,61,,,501.1402587890625,0.07454022020101547,557.828369140625,0.07315383851528168,501.1402587890625
1,,61,305.25909423828125,,,,,,
,0.001,62,,,,,,,
2,,69,,212.6104736328125,,,,,
2,,79,,163.94692993164062,,,,,
2,,89,,173.741455078125,,,,,
2,,92,,,474.6413269042969,0.06706803292036057,523.1593627929688,0.06660245358943939,474.6413269042969
2,,92,193.63571166992188,,,,,,
,0.001,93,,,,,,,
3,,99,,190.4207000732422,,,,,
3,,109,,192.3816375732422,,,,,
3,,119,,152.19036865234375,,,,,
3,,123,,,490.35552978515625,0.06819336116313934,539.6971435546875,0.0679139569401741,490.35552978515625
3,,123,164.89752197265625,,,,,,
,0.001,124,,,,,,,
4,,129,,176.35092163085938,,,,,
4,,139,,144.69004821777344,,,,,
4,,149,,152.82080078125,,,,,
4,,154,,,461.5570983886719,0.06444741785526276,510.8421936035156,0.06414671242237091,461.5570983886719
4,,154,158.85791015625,,,,,,
,0.001,155,,,,,,,
5,,159,,144.4338836669922,,,,,
5,,169,,166.42904663085938,,,,,
5,,179,,154.6051025390625,,,,,
5,,185,,,473.3912658691406,0.06365332007408142,520.7276611328125,0.06385868042707443,473.3912658691406
5,,185,148.26712036132812,,,,,,
,0.001,186,,,,,,,
6,,189,,158.37461853027344,,,,,
6,,199,,138.2232666015625,,,,,
6,,209,,136.67788696289062,,,,,
6,,216,,,422.3782653808594,0.06461505591869354,481.5061340332031,0.06306573748588562,422.3782653808594
6,,216,142.4329833984375,,,,,,
,0.001,217,,,,,,,
7,,219,,140.3397674560547,,,,,
7,,229,,151.81979370117188,,,,,
7,,239,,155.2347412109375,,,,,
7,,247,,,431.25921630859375,0.05840718746185303,477.4032287597656,0.05853146314620972,431.25921630859375
7,,247,145.68162536621094,,,,,,
,0.001,248,,,,,,,
8,,249,,132.4992218017578,,,,,
8,,259,,154.68865966796875,,,,,
8,,269,,123.34516906738281,,,,,
8,,278,,,429.5871276855469,0.05996137484908104,477.64044189453125,0.05968974530696869,429.5871276855469
8,,278,140.6172332763672,,,,,,
,0.001,279,,,,,,,
9,,279,,147.0013885498047,,,,,
9,,289,,153.62347412109375,,,,,
9,,299,,127.12934875488281,,,,,
9,,309,,139.3323516845703,,,,,
9,,309,,,431.1708984375,0.06068852171301842,481.0607604980469,0.06032373011112213,431.1708984375
9,,309,136.81492614746094,,,,,,
,0.001,310,,,,,,,
10,,319,,138.94149780273438,,,,,
10,,329,,143.7631072998047,,,,,
10,,339,,111.2811508178711,,,,,
10,,340,,,448.00848388671875,0.06172455847263336,499.0729675292969,0.06159094721078873,448.00848388671875
10,,340,134.56138610839844,,,,,,
,0.001,341,,,,,,,
11,,349,,138.24229431152344,,,,,
11,,359,,133.4070281982422,,,,,
11,,369,,143.46072387695312,,,,,
11,,371,,,490.6698303222656,0.06712869554758072,541.23779296875,0.0670756846666336,490.6698303222656
11,,371,133.8177032470703,,,,,,
