epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0003,0,,,,,,,
0,,9,,832.8935546875,,,,,
0,,19,,596.0465698242188,,,,,
0,,29,,408.2690734863281,,,,,
0,,29,,,823.2941284179688,0.11652714759111404,878.4267578125,0.11535535752773285,823.2941284179688
0,,29,674.7368774414062,,,,,,
,0.0003,30,,,,,,,
1,,39,,369.16943359375,,,,,
1,,49,,314.7389831542969,,,,,
1,,59,,290.42059326171875,,,,,
1,,59,,,733.613525390625,0.11843991279602051,796.776611328125,0.11238587647676468,733.613525390625
1,,59,365.67169189453125,,,,,,
,0.0003,60,,,,,,,
2,,69,,331.3460693359375,,,,,
2,,79,,295.61431884765625,,,,,
2,,89,,280.37579345703125,,,,,
2,,89,,,696.7775268554688,0.11616487056016922,763.7634887695312,0.1093708872795105,696.7775268554688
2,,89,298.5207824707031,,,,,,
,0.0003,90,,,,,,,
3,,99,,243.747314453125,,,,,
3,,109,,226.1641845703125,,,,,
3,,119,,243.2017059326172,,,,,
3,,119,,,700.8290405273438,0.11982549726963043,769.1255493164062,0.11193076521158218,700.8290405273438
3,,119,253.5008087158203,,,,,,
,0.0003,120,,,,,,,
4,,129,,206.2725067138672,,,,,
4,,139,,218.3100128173828,,,,,
4,,149,,181.0661163330078,,,,,
4,,149,,,700.03759765625,0.11829677224159241,765.3712158203125,0.11096011847257614,700.03759765625
4,,149,213.7626495361328,,,,,,
,0.0003,150,,,,,,,
5,,159,,186.5052947998047,,,,,
5,,169,,180.74314880371094,,,,,
5,,179,,163.32901000976562,,,,,
5,,179,,,677.9093627929688,0.11586761474609375,741.60693359375,0.10857130587100983,677.9093627929688
5,,179,191.1344757080078,,,,,,
,0.0003,180,,,,,,,
6,,189,,177.2646942138672,,,,,
6,,199,,189.9377899169922,,,,,
6,,209,,196.79959106445312,,,,,
6,,209,,,671.145751953125,0.11376318335533142,732.2186889648438,0.10698893666267395,671.145751953125
6,,209,182.2918243408203,,,,,,
,0.0003,210,,,,,,,
7,,219,,166.91928100585938,,,,,
7,,229,,183.7400360107422,,,,,
7,,239,,178.5628662109375,,,,,
7,,239,,,648.5299682617188,0.10369262844324112,697.1671752929688,0.09949666261672974,648.5299682617188
7,,239,167.67799377441406,,,,,,
,0.0003,240,,,,,,,
8,,249,,175.64938354492188,,,,,
8,,259,,183.71469116210938,,,,,
8,,269,,164.1870574951172,,,,,
8,,269,,,621.8060302734375,0.09886664152145386,668.2601928710938,0.09512358158826828,621.8060302734375
8,,269,165.16773986816406,,,,,,
,0.0003,270,,,,,,,
9,,279,,151.24295043945312,,,,,
9,,289,,143.92625427246094,,,,,
9,,299,,162.5189971923828,,,,,
9,,299,,,643.724609375,0.10459951311349869,693.1665649414062,0.09990031272172928,643.724609375
9,,299,154.9135284423828,,,,,,
,0.0003,300,,,,,,,
10,,309,,162.8297882080078,,,,,
10,,319,,140.33950805664062,,,,,
10,,329,,139.7313232421875,,,,,
10,,329,,,651.7083129882812,0.10640871524810791,700.698974609375,0.10143660008907318,651.7083129882812
10,,329,152.3110809326172,,,,,,
,0.0003,330,,,,,,,
11,,339,,141.1813507080078,,,,,
11,,349,,151.24725341796875,,,,,
11,,359,,137.31072998046875,,,,,
11,,359,,,637.1620483398438,0.09834937751293182,679.0269165039062,0.09532396495342255,637.1620483398438
11,,359,144.6703338623047,,,,,,
,0.0003,360,,,,,,,
12,,369,,155.3583221435547,,,,,
12,,379,,147.67947387695312,,,,,
12,,389,,144.6278076171875,,,,,
12,,389,,,652.1227416992188,0.10291886329650879,695.8128051757812,0.09906518459320068,652.1227416992188
12,,389,140.90438842773438,,,,,,
,0.0003,390,,,,,,,
13,,399,,131.7062225341797,,,,,
13,,409,,156.8624725341797,,,,,
13,,419,,147.1199951171875,,,,,
13,,419,,,662.804931640625,0.10939895361661911,712.258056640625,0.10386188328266144,662.804931640625
13,,419,142.2101593017578,,,,,,
