date,ticker,Open,High,Low,Close,Adj Close,Volume
2017-01-02,ASII.JK,8275.0,8275.0,8275.0,8275.0,4925.52587890625,0.0
2017-01-03,ASII.JK,8150.0,8225.0,8050.0,8200.0,4880.8837890625,24401500.0
2017-01-04,ASII.JK,8150.0,8175.0,7925.0,8000.0,4761.8369140625,40244000.0
2017-01-05,ASII.JK,8050.0,8125.0,8000.0,8125.0,4836.24072265625,30992200.0
2017-01-06,ASII.JK,8175.0,8250.0,8125.0,8175.0,4866.00341796875,16866600.0
2017-01-09,ASII.JK,8250.0,8250.0,8125.0,8150.0,4851.1220703125,14383700.0
2017-01-10,ASII.JK,8175.0,8225.0,8100.0,8200.0,4880.8837890625,21384600.0
2017-01-11,ASII.JK,8200.0,8200.0,8025.0,8025.0,4776.71875,14060000.0
2017-01-12,ASII.JK,8025.0,8100.0,7925.0,7925.0,4717.19580078125,25391700.0
2017-01-13,ASII.JK,7925.0,8125.0,7925.0,8000.0,4761.8369140625,30164500.0
2017-01-16,ASII.JK,8075.0,8075.0,7975.0,7975.0,4746.95703125,12032400.0
2017-01-17,ASII.JK,7950.0,8075.0,7950.0,8050.0,4791.59912109375,5848500.0
2017-01-18,ASII.JK,8100.0,8175.0,8050.0,8125.0,4836.24072265625,17112300.0
2017-01-19,ASII.JK,8125.0,8150.0,8050.0,8150.0,4851.1220703125,15267800.0
2017-01-20,ASII.JK,8150.0,8150.0,8000.0,8000.0,4761.8369140625,11094700.0
2017-01-23,ASII.JK,8050.0,8100.0,7950.0,8025.0,4776.71875,9106800.0
2017-01-24,ASII.JK,8100.0,8100.0,8025.0,8050.0,4791.59912109375,16250900.0
2017-01-25,ASII.JK,8100.0,8100.0,8050.0,8100.0,4821.3603515625,25295000.0
2017-01-26,ASII.JK,8150.0,8150.0,8050.0,8075.0,4806.47998046875,22812200.0
2017-01-27,ASII.JK,8100.0,8125.0,8025.0,8100.0,4821.3603515625,12243700.0
2017-01-30,ASII.JK,8100.0,8125.0,7900.0,7900.0,4702.31494140625,17179100.0
2017-01-31,ASII.JK,7950.0,8050.0,7950.0,7950.0,4732.0771484375,22016600.0
2017-02-01,ASII.JK,8000.0,8100.0,7975.0,8050.0,4791.59912109375,20593800.0
2017-02-02,ASII.JK,8025.0,8100.0,8000.0,8100.0,4821.3603515625,19035500.0
2017-02-03,ASII.JK,8125.0,8200.0,8100.0,8100.0,4821.3603515625,20891200.0
