epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0003,0,,,,,,,
0,,9,,574.9746704101562,,,,,
0,,19,,453.530517578125,,,,,
0,,25,,,564.7259521484375,0.07196135818958282,617.8253784179688,0.07504621893167496,564.7259521484375
0,,25,542.5217895507812,,,,,,
,0.0003,26,,,,,,,
1,,29,,412.16668701171875,,,,,
1,,39,,356.21307373046875,,,,,
1,,49,,341.32342529296875,,,,,
1,,51,,,432.23974609375,0.058678798377513885,483.2753601074219,0.05923878774046898,432.23974609375
1,,51,364.4000244140625,,,,,,
,0.0003,52,,,,,,,
2,,59,,282.61376953125,,,,,
2,,69,,280.65216064453125,,,,,
2,,77,,,389.2131042480469,0.05057237669825554,438.6971740722656,0.05192549526691437,389.2131042480469
2,,77,296.3570556640625,,,,,,
,0.0003,78,,,,,,,
3,,79,,297.7703857421875,,,,,
3,,89,,235.7800750732422,,,,,
3,,99,,218.33016967773438,,,,,
3,,103,,,411.6574401855469,0.05246119946241379,461.05291748046875,0.05426286533474922,411.6574401855469
3,,103,243.27085876464844,,,,,,
,0.0003,104,,,,,,,
4,,109,,213.3678436279297,,,,,
4,,119,,189.31414794921875,,,,,
4,,129,,183.56739807128906,,,,,
4,,129,,,434.11187744140625,0.05465797707438469,485.9867248535156,0.05666544660925865,434.11187744140625
4,,129,206.18370056152344,,,,,,
,0.0003,130,,,,,,,
5,,139,,177.62167358398438,,,,,
5,,149,,170.8044891357422,,,,,
5,,155,,,359.8404541015625,0.04758039861917496,407.2492370605469,0.04827838018536568,359.8404541015625
5,,155,188.8678436279297,,,,,,
,0.0003,156,,,,,,,
6,,159,,176.2637939453125,,,,,
6,,169,,153.32467651367188,,,,,
6,,179,,161.4774169921875,,,,,
6,,181,,,363.9092712402344,0.04797687754034996,411.2724914550781,0.04872259870171547,363.9092712402344
6,,181,169.08372497558594,,,,,,
,0.0003,182,,,,,,,
7,,189,,171.7518310546875,,,,,
7,,199,,207.0557861328125,,,,,
7,,207,,,397.8143005371094,0.05043165385723114,445.3021240234375,0.052058156579732895,397.8143005371094
7,,207,171.4049530029297,,,,,,
,0.0003,208,,,,,,,
8,,209,,160.69393920898438,,,,,
8,,219,,178.4290313720703,,,,,
8,,229,,161.55197143554688,,,,,
8,,233,,,370.528076171875,0.04782072454690933,416.0970458984375,0.04891970753669739,370.528076171875
8,,233,159.11761474609375,,,,,,
,0.0003,234,,,,,,,
9,,239,,147.97909545898438,,,,,
9,,249,,145.66098022460938,,,,,
9,,259,,152.28964233398438,,,,,
9,,259,,,369.4057922363281,0.04773533344268799,415.6934509277344,0.04873095825314522,369.4057922363281
9,,259,150.97608947753906,,,,,,
,0.0003,260,,,,,,,
10,,269,,153.11326599121094,,,,,
10,,279,,135.09866333007812,,,,,
10,,285,,,374.865234375,0.04809397831559181,419.8656005859375,0.049256063997745514,374.865234375
10,,285,148.04722595214844,,,,,,
