epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,,
0,,9,,486.91778564453125,,,,,
0,,19,,325.5544128417969,,,,,
0,,29,,289.34912109375,,,,,
0,,30,,,611.903564453125,0.10638462007045746,704.488525390625,0.09896942973136902,611.903564453125
0,,30,452.0829772949219,,,,,,
,0.001,31,,,,,,,
1,,39,,232.0330047607422,,,,,
1,,49,,270.56634521484375,,,,,
1,,59,,208.9502716064453,,,,,
1,,61,,,616.3509521484375,0.10596976429224014,692.1116333007812,0.09937737137079239,616.3509521484375
1,,61,252.18963623046875,,,,,,
,0.001,62,,,,,,,
2,,69,,218.2672119140625,,,,,
2,,79,,207.1980743408203,,,,,
2,,89,,173.73362731933594,,,,,
2,,92,,,627.888671875,0.10534007102251053,700.4185180664062,0.09927945584058762,627.888671875
2,,92,201.46080017089844,,,,,,
,0.001,93,,,,,,,
3,,99,,184.47451782226562,,,,,
3,,109,,157.7705078125,,,,,
3,,119,,167.52847290039062,,,,,
3,,123,,,621.3793334960938,0.10180864483118057,683.4766235351562,0.09667306393384933,621.3793334960938
3,,123,169.0711669921875,,,,,,
,0.001,124,,,,,,,
4,,129,,157.92369079589844,,,,,
4,,139,,150.46730041503906,,,,,
4,,149,,132.65464782714844,,,,,
4,,154,,,597.0101928710938,0.09281996637582779,653.7677612304688,0.08942373096942902,597.0101928710938
4,,154,151.5165252685547,,,,,,
,0.001,155,,,,,,,
5,,159,,117.63045501708984,,,,,
5,,169,,151.45352172851562,,,,,
5,,179,,151.6397705078125,,,,,
5,,185,,,603.5529174804688,0.09485302120447159,660.4544067382812,0.09120124578475952,603.5529174804688
5,,185,149.5333251953125,,,,,,
,0.001,186,,,,,,,
6,,189,,147.6184844970703,,,,,
6,,199,,179.82330322265625,,,,,
6,,209,,143.40968322753906,,,,,
6,,216,,,624.7969360351562,0.09811684489250183,680.314208984375,0.09422720968723297,624.7969360351562
6,,216,146.52691650390625,,,,,,
,0.001,217,,,,,,,
7,,219,,136.50091552734375,,,,,
7,,229,,120.00129699707031,,,,,
7,,239,,117.1416244506836,,,,,
7,,247,,,570.0891723632812,0.08939196169376373,623.207275390625,0.08613229542970657,570.0891723632812
7,,247,131.75546264648438,,,,,,
,0.001,248,,,,,,,
8,,249,,143.2388458251953,,,,,
8,,259,,114.12150573730469,,,,,
8,,269,,127.00447845458984,,,,,
8,,278,,,591.60302734375,0.08948595821857452,645.1546020507812,0.08687853813171387,591.60302734375
8,,278,126.45417785644531,,,,,,
,0.001,279,,,,,,,
9,,279,,136.6260528564453,,,,,
9,,289,,144.2142791748047,,,,,
9,,299,,136.29310607910156,,,,,
9,,309,,114.94978332519531,,,,,
9,,309,,,554.8629760742188,0.08789537847042084,610.6984252929688,0.08450739085674286,554.8629760742188
9,,309,124.88542175292969,,,,,,
,0.001,310,,,,,,,
10,,319,,154.76588439941406,,,,,
10,,329,,125.30706787109375,,,,,
10,,339,,105.48431396484375,,,,,
10,,340,,,605.2352905273438,0.09350879490375519,659.7516479492188,0.09034711122512817,605.2352905273438
10,,340,119.51211547851562,,,,,,
,0.001,341,,,,,,,
11,,349,,114.30452728271484,,,,,
11,,359,,110.34559631347656,,,,,
11,,369,,118.48287200927734,,,,,
11,,371,,,577.2015991210938,0.09029927849769592,633.1838989257812,0.08687566220760345,577.2015991210938
11,,371,119.29267883300781,,,,,,
,0.001,372,,,,,,,
12,,379,,115.08982849121094,,,,,
12,,389,,119.7098388671875,,,,,
12,,399,,93.08076477050781,,,,,
12,,402,,,613.401611328125,0.10088621079921722,673.0886840820312,0.09579918533563614,613.401611328125
12,,402,117.13644409179688,,,,,,
,0.001,403,,,,,,,
13,,409,,108.09428405761719,,,,,
13,,419,,110.32086181640625,,,,,
13,,429,,116.76521301269531,,,,,
13,,433,,,574.814208984375,0.09442203491926193,634.6663818359375,0.08982961624860764,574.814208984375
13,,433,113.36978912353516,,,,,,
,0.001,434,,,,,,,
14,,439,,100.05656433105469,,,,,
14,,449,,105.55621337890625,,,,,
14,,459,,125.5374526977539,,,,,
14,,464,,,620.425537109375,0.09862422198057175,676.7510375976562,0.09447143226861954,620.425537109375
14,,464,114.42107391357422,,,,,,
