epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0003,0,,,,,,,
0,,9,,507.964111328125,,,,,
0,,19,,319.2146911621094,,,,,
0,,25,,,502.9993896484375,0.07009880989789963,556.1094970703125,0.07343369722366333,502.9993896484375
0,,25,490.30889892578125,,,,,,
,0.0003,26,,,,,,,
1,,29,,333.22442626953125,,,,,
1,,39,,287.32550048828125,,,,,
1,,49,,282.6927185058594,,,,,
1,,51,,,400.03961181640625,0.05804139003157616,453.90216064453125,0.059374380856752396,400.03961181640625
1,,51,290.5484924316406,,,,,,
,0.0003,52,,,,,,,
2,,59,,257.61407470703125,,,,,
2,,69,,244.98153686523438,,,,,
2,,77,,,385.38653564453125,0.05541355907917023,437.2355041503906,0.056876685470342636,385.38653564453125
2,,77,247.3863067626953,,,,,,
,0.0003,78,,,,,,,
3,,79,,203.38914489746094,,,,,
3,,89,,204.95108032226562,,,,,
3,,99,,195.55990600585938,,,,,
3,,103,,,371.57708740234375,0.054137490689754486,420.16839599609375,0.05505693703889847,371.57708740234375
3,,103,204.00946044921875,,,,,,
,0.0003,104,,,,,,,
4,,109,,225.40701293945312,,,,,
4,,119,,161.38644409179688,,,,,
4,,129,,167.8146209716797,,,,,
4,,129,,,372.4239196777344,0.05355088412761688,422.5993957519531,0.05497891083359718,372.4239196777344
4,,129,182.02635192871094,,,,,,
,0.0003,130,,,,,,,
5,,139,,178.98922729492188,,,,,
5,,149,,158.03981018066406,,,,,
5,,155,,,381.9866943359375,0.05394989252090454,431.5582275390625,0.05565793812274933,381.9866943359375
5,,155,166.2871856689453,,,,,,
,0.0003,156,,,,,,,
6,,159,,153.64004516601562,,,,,
6,,169,,159.1702117919922,,,,,
6,,179,,154.93092346191406,,,,,
6,,181,,,346.3952941894531,0.052700433880090714,392.3035583496094,0.052638810127973557,346.3952941894531
6,,181,154.8926544189453,,,,,,
,0.0003,182,,,,,,,
7,,189,,147.64614868164062,,,,,
7,,199,,171.14849853515625,,,,,
7,,207,,,337.1973876953125,0.05083921179175377,379.0873718261719,0.05102478340268135,337.1973876953125
7,,207,147.49453735351562,,,,,,
,0.0003,208,,,,,,,
8,,209,,154.62110900878906,,,,,
8,,219,,132.88851928710938,,,,,
8,,229,,153.346923828125,,,,,
8,,233,,,328.50634765625,0.04875051975250244,372.5003967285156,0.04921061918139458,328.50634765625
8,,233,143.86605834960938,,,,,,
,0.0003,234,,,,,,,
9,,239,,138.84671020507812,,,,,
9,,249,,141.87173461914062,,,,,
9,,259,,134.2631072998047,,,,,
9,,259,,,348.0304260253906,0.05104714632034302,392.6899108886719,0.05169381946325302,348.0304260253906
9,,259,136.00184631347656,,,,,,
,0.0003,260,,,,,,,
10,,269,,137.96559143066406,,,,,
10,,279,,138.55043029785156,,,,,
10,,285,,,348.0797424316406,0.05073604732751846,393.2541809082031,0.051435839384794235,348.0797424316406
10,,285,130.9409942626953,,,,,,
,0.0003,286,,,,,,,
11,,289,,145.59628295898438,,,,,
11,,299,,143.10287475585938,,,,,
11,,309,,113.5985336303711,,,,,
11,,311,,,370.890625,0.052680376917123795,418.2071228027344,0.05385202541947365,370.890625
11,,311,124.1470947265625,,,,,,
,0.0003,312,,,,,,,
12,,319,,142.33334350585938,,,,,
12,,329,,134.38882446289062,,,,,
12,,337,,,351.0052490234375,0.05141184851527214,397.9356994628906,0.052060119807720184,351.0052490234375
12,,337,122.19507598876953,,,,,,
,0.0003,338,,,,,,,
13,,339,,103.53279876708984,,,,,
13,,349,,136.1526641845703,,,,,
13,,359,,119.95079040527344,,,,,
13,,363,,,367.0008239746094,0.05223950743675232,414.8848571777344,0.053368061780929565,367.0008239746094
13,,363,116.73479461669922,,,,,,
