ticker,date,diff_days
ASII.JK,2017-04-17,4.0
ASII.JK,2017-04-25,4.0
ASII.JK,2017-05-02,4.0
ASII.JK,2017-07-03,11.0
ASII.JK,2017-09-04,4.0
ASII.JK,2017-12-04,4.0
ASII.JK,2017-12-27,5.0
ASII.JK,2018-01-02,4.0
ASII.JK,2018-02-19,4.0
ASII.JK,2018-04-02,4.0
ASII.JK,2018-04-18,5.0
ASII.JK,2018-04-23,5.0
ASII.JK,2018-04-30,6.0
ASII.JK,2018-05-15,4.0
ASII.JK,2018-06-04,4.0
ASII.JK,2018-06-20,12.0
ASII.JK,2018-08-20,4.0
ASII.JK,2018-12-26,5.0
ASII.JK,2019-01-02,5.0
ASII.JK,2019-04-22,4.0
ASII.JK,2019-06-10,10.0
ASII.JK,2020-03-17,5.0
ASII.JK,2020-04-13,4.0
ASII.JK,2020-05-04,4.0
ASII.JK,2020-05-26,6.0
ASII.JK,2020-06-02,4.0
ASII.JK,2020-08-03,4.0
ASII.JK,2020-08-18,4.0
ASII.JK,2020-08-24,5.0
ASII.JK,2020-11-02,6.0
ASII.JK,2020-12-28,5.0
ASII.JK,2021-01-04,5.0
ASII.JK,2021-02-15,4.0
ASII.JK,2021-04-05,4.0
ASII.JK,2021-05-17,6.0
ASII.JK,2022-01-03,4.0
ASII.JK,2022-03-01,4.0
ASII.JK,2022-04-18,4.0
ASII.JK,2022-05-09,11.0
ASII.JK,2022-05-17,4.0
ASII.JK,2023-01-24,4.0
ASII.JK,2023-04-10,4.0
ASII.JK,2023-04-26,8.0
ASII.JK,2023-05-02,4.0
ASII.JK,2023-06-05,5.0
ASII.JK,2023-07-03,6.0
ASII.JK,2023-12-27,5.0
ASII.JK,2024-01-02,4.0
ASII.JK,2024-02-12,5.0
ASII.JK,2024-03-13,5.0
ASII.JK,2024-04-01,4.0
ASII.JK,2024-04-16,11.0
ASII.JK,2024-05-13,5.0
ASII.JK,2024-05-27,5.0
ASII.JK,2024-06-19,5.0
ASII.JK,2024-09-17,4.0
ASII.JK,2025-01-30,6.0
ASII.JK,2025-04-08,12.0
ASII.JK,2025-04-21,4.0
ASII.JK,2025-05-14,5.0
ASII.JK,2025-06-02,5.0
ASII.JK,2025-06-10,5.0
ASII.JK,2025-06-30,4.0
ASII.JK,2025-08-19,4.0
ASII.JK,2025-09-08,4.0
BBCA.JK,2017-04-17,4.0
BBCA.JK,2017-04-25,4.0
BBCA.JK,2017-05-02,4.0
BBCA.JK,2017-07-03,11.0
BBCA.JK,2017-09-04,4.0
BBCA.JK,2017-12-04,4.0
BBCA.JK,2017-12-27,5.0
BBCA.JK,2018-01-02,4.0
BBCA.JK,2018-02-19,4.0
BBCA.JK,2018-04-02,4.0
BBCA.JK,2018-04-18,5.0
BBCA.JK,2018-04-23,5.0
BBCA.JK,2018-04-30,6.0
BBCA.JK,2018-05-15,4.0
BBCA.JK,2018-06-04,4.0
BBCA.JK,2018-06-20,12.0
BBCA.JK,2018-08-20,4.0
BBCA.JK,2018-12-26,5.0
BBCA.JK,2019-01-02,5.0
BBCA.JK,2019-04-22,4.0
BBCA.JK,2019-06-10,10.0
BBCA.JK,2020-03-17,5.0
BBCA.JK,2020-04-13,4.0
BBCA.JK,2020-05-04,4.0
BBCA.JK,2020-05-26,6.0
BBCA.JK,2020-06-02,4.0
BBCA.JK,2020-08-03,4.0
BBCA.JK,2020-08-18,4.0
BBCA.JK,2020-08-24,5.0
BBCA.JK,2020-11-02,6.0
BBCA.JK,2020-12-28,5.0
BBCA.JK,2021-01-04,5.0
BBCA.JK,2021-02-15,4.0
BBCA.JK,2021-04-05,4.0
BBCA.JK,2021-05-17,6.0
BBCA.JK,2022-01-03,4.0
BBCA.JK,2022-03-01,4.0
BBCA.JK,2022-04-18,4.0
BBCA.JK,2022-05-09,11.0
BBCA.JK,2022-05-17,4.0
BBCA.JK,2023-01-24,4.0
BBCA.JK,2023-04-10,4.0
BBCA.JK,2023-04-26,8.0
BBCA.JK,2023-05-02,4.0
BBCA.JK,2023-06-05,5.0
BBCA.JK,2023-07-03,6.0
BBCA.JK,2023-12-27,5.0
BBCA.JK,2024-01-02,4.0
BBCA.JK,2024-02-12,5.0
BBCA.JK,2024-03-13,5.0
BBCA.JK,2024-04-01,4.0
BBCA.JK,2024-04-16,11.0
BBCA.JK,2024-05-13,5.0
BBCA.JK,2024-05-27,5.0
BBCA.JK,2024-06-19,5.0
BBCA.JK,2024-09-17,4.0
BBCA.JK,2025-01-30,6.0
BBCA.JK,2025-04-08,12.0
BBCA.JK,2025-04-21,4.0
BBCA.JK,2025-05-14,5.0
BBCA.JK,2025-06-02,5.0
BBCA.JK,2025-06-10,5.0
BBCA.JK,2025-06-30,4.0
BBCA.JK,2025-08-19,4.0
BBCA.JK,2025-09-08,4.0
BBRI.JK,2017-04-17,4.0
BBRI.JK,2017-04-25,4.0
BBRI.JK,2017-05-02,4.0
BBRI.JK,2017-07-03,11.0
BBRI.JK,2017-09-04,4.0
BBRI.JK,2017-12-04,4.0
BBRI.JK,2017-12-27,5.0
BBRI.JK,2018-01-02,4.0
BBRI.JK,2018-02-19,4.0
BBRI.JK,2018-04-02,4.0
BBRI.JK,2018-04-18,5.0
BBRI.JK,2018-04-23,5.0
BBRI.JK,2018-04-30,6.0
BBRI.JK,2018-05-15,4.0
BBRI.JK,2018-06-04,4.0
BBRI.JK,2018-06-20,12.0
BBRI.JK,2018-08-20,4.0
BBRI.JK,2018-12-26,5.0
BBRI.JK,2019-01-02,5.0
BBRI.JK,2019-04-22,4.0
BBRI.JK,2019-06-10,10.0
BBRI.JK,2020-03-17,5.0
BBRI.JK,2020-04-13,4.0
BBRI.JK,2020-05-04,4.0
BBRI.JK,2020-05-26,6.0
BBRI.JK,2020-06-02,4.0
BBRI.JK,2020-08-03,4.0
BBRI.JK,2020-08-18,4.0
BBRI.JK,2020-08-24,5.0
BBRI.JK,2020-11-02,6.0
BBRI.JK,2020-12-28,5.0
BBRI.JK,2021-01-04,5.0
BBRI.JK,2021-02-15,4.0
BBRI.JK,2021-04-05,4.0
BBRI.JK,2021-05-17,6.0
BBRI.JK,2022-01-03,4.0
BBRI.JK,2022-03-01,4.0
BBRI.JK,2022-04-18,4.0
BBRI.JK,2022-05-09,11.0
BBRI.JK,2022-05-17,4.0
BBRI.JK,2023-01-24,4.0
BBRI.JK,2023-04-10,4.0
BBRI.JK,2023-04-26,8.0
BBRI.JK,2023-05-02,4.0
BBRI.JK,2023-06-05,5.0
BBRI.JK,2023-07-03,6.0
BBRI.JK,2023-12-27,5.0
BBRI.JK,2024-01-02,4.0
BBRI.JK,2024-02-12,5.0
BBRI.JK,2024-03-13,5.0
BBRI.JK,2024-04-01,4.0
BBRI.JK,2024-04-16,11.0
BBRI.JK,2024-05-13,5.0
BBRI.JK,2024-05-27,5.0
BBRI.JK,2024-06-19,5.0
BBRI.JK,2024-09-17,4.0
BBRI.JK,2025-01-30,6.0
BBRI.JK,2025-04-08,12.0
BBRI.JK,2025-04-21,4.0
BBRI.JK,2025-05-14,5.0
BBRI.JK,2025-06-02,5.0
BBRI.JK,2025-06-10,5.0
BBRI.JK,2025-06-30,4.0
BBRI.JK,2025-08-19,4.0
BBRI.JK,2025-09-08,4.0
BMRI.JK,2017-04-17,4.0
BMRI.JK,2017-04-25,4.0
BMRI.JK,2017-05-02,4.0
BMRI.JK,2017-07-03,11.0
BMRI.JK,2017-09-04,4.0
BMRI.JK,2017-12-04,4.0
BMRI.JK,2017-12-27,5.0
BMRI.JK,2018-01-02,4.0
BMRI.JK,2018-02-19,4.0
BMRI.JK,2018-04-02,4.0
BMRI.JK,2018-04-18,5.0
BMRI.JK,2018-04-23,5.0
BMRI.JK,2018-04-30,6.0
BMRI.JK,2018-05-15,4.0
BMRI.JK,2018-06-04,4.0
BMRI.JK,2018-06-20,12.0
BMRI.JK,2018-08-20,4.0
BMRI.JK,2018-12-26,5.0
BMRI.JK,2019-01-02,5.0
BMRI.JK,2019-04-22,4.0
BMRI.JK,2019-06-10,10.0
BMRI.JK,2020-03-17,5.0
BMRI.JK,2020-04-13,4.0
BMRI.JK,2020-05-04,4.0
BMRI.JK,2020-05-26,6.0
BMRI.JK,2020-06-02,4.0
BMRI.JK,2020-08-03,4.0
BMRI.JK,2020-08-18,4.0
BMRI.JK,2020-08-24,5.0
BMRI.JK,2020-11-02,6.0
BMRI.JK,2020-12-28,5.0
BMRI.JK,2021-01-04,5.0
BMRI.JK,2021-02-15,4.0
BMRI.JK,2021-04-05,4.0
BMRI.JK,2021-05-17,6.0
BMRI.JK,2022-01-03,4.0
BMRI.JK,2022-03-01,4.0
BMRI.JK,2022-04-18,4.0
BMRI.JK,2022-05-09,11.0
BMRI.JK,2022-05-17,4.0
BMRI.JK,2023-01-24,4.0
BMRI.JK,2023-04-10,4.0
BMRI.JK,2023-04-26,8.0
BMRI.JK,2023-05-02,4.0
BMRI.JK,2023-06-05,5.0
BMRI.JK,2023-07-03,6.0
BMRI.JK,2023-12-27,5.0
BMRI.JK,2024-01-02,4.0
BMRI.JK,2024-02-12,5.0
BMRI.JK,2024-03-13,5.0
BMRI.JK,2024-04-01,4.0
BMRI.JK,2024-04-16,11.0
BMRI.JK,2024-05-13,5.0
BMRI.JK,2024-05-27,5.0
BMRI.JK,2024-06-19,5.0
BMRI.JK,2024-09-17,4.0
BMRI.JK,2025-01-30,6.0
BMRI.JK,2025-04-08,12.0
BMRI.JK,2025-04-21,4.0
BMRI.JK,2025-05-14,5.0
BMRI.JK,2025-06-02,5.0
BMRI.JK,2025-06-10,5.0
BMRI.JK,2025-06-30,4.0
BMRI.JK,2025-08-19,4.0
BMRI.JK,2025-09-08,4.0
TLKM.JK,2017-04-17,4.0
TLKM.JK,2017-04-25,4.0
TLKM.JK,2017-05-02,4.0
TLKM.JK,2017-07-03,11.0
TLKM.JK,2017-09-04,4.0
TLKM.JK,2017-12-04,4.0
TLKM.JK,2017-12-27,5.0
TLKM.JK,2018-01-02,4.0
TLKM.JK,2018-02-19,4.0
TLKM.JK,2018-04-02,4.0
TLKM.JK,2018-04-18,5.0
TLKM.JK,2018-04-23,5.0
TLKM.JK,2018-04-30,6.0
TLKM.JK,2018-05-15,4.0
TLKM.JK,2018-06-04,4.0
TLKM.JK,2018-06-20,12.0
TLKM.JK,2018-08-20,4.0
TLKM.JK,2018-12-26,5.0
TLKM.JK,2019-01-02,5.0
TLKM.JK,2019-04-22,4.0
TLKM.JK,2019-06-10,10.0
TLKM.JK,2020-03-17,5.0
TLKM.JK,2020-04-13,4.0
TLKM.JK,2020-05-04,4.0
TLKM.JK,2020-05-26,6.0
TLKM.JK,2020-06-02,4.0
TLKM.JK,2020-08-03,4.0
TLKM.JK,2020-08-18,4.0
TLKM.JK,2020-08-24,5.0
TLKM.JK,2020-11-02,6.0
TLKM.JK,2020-12-28,5.0
TLKM.JK,2021-01-04,5.0
TLKM.JK,2021-02-15,4.0
TLKM.JK,2021-04-05,4.0
TLKM.JK,2021-05-17,6.0
TLKM.JK,2022-01-03,4.0
TLKM.JK,2022-03-01,4.0
TLKM.JK,2022-04-18,4.0
TLKM.JK,2022-05-09,11.0
TLKM.JK,2022-05-17,4.0
TLKM.JK,2023-01-24,4.0
TLKM.JK,2023-04-10,4.0
TLKM.JK,2023-04-26,8.0
TLKM.JK,2023-05-02,4.0
TLKM.JK,2023-06-05,5.0
TLKM.JK,2023-07-03,6.0
TLKM.JK,2023-12-27,5.0
TLKM.JK,2024-01-02,4.0
TLKM.JK,2024-02-12,5.0
TLKM.JK,2024-03-13,5.0
TLKM.JK,2024-04-01,4.0
TLKM.JK,2024-04-16,11.0
TLKM.JK,2024-05-13,5.0
TLKM.JK,2024-05-27,5.0
TLKM.JK,2024-06-19,5.0
TLKM.JK,2024-09-17,4.0
TLKM.JK,2025-01-30,6.0
TLKM.JK,2025-04-08,12.0
TLKM.JK,2025-04-21,4.0
TLKM.JK,2025-05-14,5.0
TLKM.JK,2025-06-02,5.0
TLKM.JK,2025-06-10,5.0
TLKM.JK,2025-06-30,4.0
TLKM.JK,2025-08-19,4.0
TLKM.JK,2025-09-08,4.0
UNVR.JK,2017-04-17,4.0
UNVR.JK,2017-04-25,4.0
UNVR.JK,2017-05-02,4.0
UNVR.JK,2017-07-03,11.0
UNVR.JK,2017-09-04,4.0
UNVR.JK,2017-12-04,4.0
UNVR.JK,2017-12-27,5.0
UNVR.JK,2018-01-02,4.0
UNVR.JK,2018-02-19,4.0
UNVR.JK,2018-04-02,4.0
UNVR.JK,2018-04-18,5.0
UNVR.JK,2018-04-23,5.0
UNVR.JK,2018-04-30,6.0
UNVR.JK,2018-05-15,4.0
UNVR.JK,2018-06-04,4.0
UNVR.JK,2018-06-20,12.0
UNVR.JK,2018-08-20,4.0
UNVR.JK,2018-12-26,5.0
UNVR.JK,2019-01-02,5.0
UNVR.JK,2019-04-22,4.0
UNVR.JK,2019-06-10,10.0
UNVR.JK,2020-03-17,5.0
UNVR.JK,2020-04-13,4.0
UNVR.JK,2020-05-04,4.0
UNVR.JK,2020-05-26,6.0
UNVR.JK,2020-06-02,4.0
UNVR.JK,2020-08-03,4.0
UNVR.JK,2020-08-18,4.0
UNVR.JK,2020-08-24,5.0
UNVR.JK,2020-11-02,6.0
UNVR.JK,2020-12-28,5.0
UNVR.JK,2021-01-04,5.0
UNVR.JK,2021-02-15,4.0
UNVR.JK,2021-04-05,4.0
UNVR.JK,2021-05-17,6.0
UNVR.JK,2022-01-03,4.0
UNVR.JK,2022-03-01,4.0
UNVR.JK,2022-04-18,4.0
UNVR.JK,2022-05-09,11.0
UNVR.JK,2022-05-17,4.0
UNVR.JK,2023-01-24,4.0
UNVR.JK,2023-04-10,4.0
UNVR.JK,2023-04-26,8.0
UNVR.JK,2023-05-02,4.0
UNVR.JK,2023-06-05,5.0
UNVR.JK,2023-07-03,6.0
UNVR.JK,2023-12-27,5.0
UNVR.JK,2024-01-02,4.0
UNVR.JK,2024-02-12,5.0
UNVR.JK,2024-03-13,5.0
UNVR.JK,2024-04-01,4.0
UNVR.JK,2024-04-16,11.0
UNVR.JK,2024-05-13,5.0
UNVR.JK,2024-05-27,5.0
UNVR.JK,2024-06-19,5.0
UNVR.JK,2024-09-17,4.0
UNVR.JK,2025-01-30,6.0
UNVR.JK,2025-04-08,12.0
UNVR.JK,2025-04-21,4.0
UNVR.JK,2025-05-14,5.0
UNVR.JK,2025-06-02,5.0
UNVR.JK,2025-06-10,5.0
UNVR.JK,2025-06-30,4.0
UNVR.JK,2025-08-19,4.0
UNVR.JK,2025-09-08,4.0
