variable,importance
news_count,125.38266
volume,76.53023
month,57.529076
sentiment_mean_3d,47.848644
is_month_end,36.816925
time_idx,30.893019
news_count_3d,27.87011
close_scale,27.581612
ma_5_div_ma_20,26.332642
sentiment_mean,26.00755
relative_time_idx,17.13924
rsi_14,15.528758
day_of_week,10.897593
close_center,9.766618
log_return_1d,8.898611
vol_20,6.8575873
close,4.6011167
encoder_length,3.5180237
