epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0003,0,,,,,,,
0,,9,,512.35498046875,,,,,
0,,19,,379.1617126464844,,,,,
0,,24,,,802.0650024414062,0.11202940344810486,842.9203491210938,0.12046895921230316,802.0650024414062
0,,24,513.356689453125,,,,,,
,0.0003,25,,,,,,,
1,,29,,312.13262939453125,,,,,
1,,39,,321.2335510253906,,,,,
1,,49,,256.9335632324219,,,,,
1,,49,,,431.0085754394531,0.060705605894327164,482.1818542480469,0.06303471326828003,431.0085754394531
1,,49,303.8514404296875,,,,,,
,0.0003,50,,,,,,,
2,,59,,245.1095428466797,,,,,
2,,69,,210.4622802734375,,,,,
2,,74,,,368.6685791015625,0.051590871065855026,421.30792236328125,0.05285598710179329,368.6685791015625
2,,74,247.9828643798828,,,,,,
,0.0003,75,,,,,,,
3,,79,,216.733154296875,,,,,
3,,89,,229.18093872070312,,,,,
3,,99,,176.24432373046875,,,,,
3,,99,,,317.8046569824219,0.04504448175430298,368.7986755371094,0.045769814401865005,317.8046569824219
3,,99,205.88621520996094,,,,,,
,0.0003,100,,,,,,,
4,,109,,195.56277465820312,,,,,
4,,119,,172.99493408203125,,,,,
4,,124,,,306.23681640625,0.04517292231321335,353.146240234375,0.045241981744766235,306.23681640625
4,,124,177.78524780273438,,,,,,
,0.0003,125,,,,,,,
5,,129,,154.73655700683594,,,,,
5,,139,,160.5257110595703,,,,,
5,,149,,188.12167358398438,,,,,
5,,149,,,292.6085510253906,0.04266957566142082,338.961669921875,0.04304215684533119,292.6085510253906
5,,149,158.78480529785156,,,,,,
,0.0003,150,,,,,,,
6,,159,,149.55679321289062,,,,,
6,,169,,134.97665405273438,,,,,
6,,174,,,298.6400451660156,0.04260889068245888,346.0361633300781,0.04327061399817467,298.6400451660156
6,,174,145.95799255371094,,,,,,
,0.0003,175,,,,,,,
7,,179,,140.50543212890625,,,,,
7,,189,,130.796630859375,,,,,
7,,199,,149.95484924316406,,,,,
7,,199,,,297.66790771484375,0.04231522977352142,343.96484375,0.04300832003355026,297.66790771484375
7,,199,148.9355926513672,,,,,,
,0.0003,200,,,,,,,
8,,209,,145.40562438964844,,,,,
8,,219,,140.19879150390625,,,,,
8,,224,,,300.32427978515625,0.042432334274053574,347.3279724121094,0.04318923130631447,300.32427978515625
8,,224,148.6283416748047,,,,,,
,0.0003,225,,,,,,,
9,,229,,139.16615295410156,,,,,
9,,239,,152.99073791503906,,,,,
9,,249,,141.111328125,,,,,
9,,249,,,300.93231201171875,0.0424199178814888,346.899169921875,0.043224211782217026,300.93231201171875
9,,249,138.43690490722656,,,,,,
,0.0003,250,,,,,,,
10,,259,,134.71624755859375,,,,,
10,,269,,112.1907958984375,,,,,
10,,274,,,304.96746826171875,0.04362840577960014,351.5740966796875,0.04424320161342621,304.96746826171875
10,,274,131.41351318359375,,,,,,
